Parameter,Circular Title,Link,Effective From,Active
Is Standard Template,Standardized Template Policy,StandardTemplatePolicy.pdf,2025-07-31,Yes
Reverse Auction,RA Exmeption Circular 16.11.23.pdf,RA Exmeption Circular 16.11.23.pdf,2023-11-16,Yes
